title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
10 Things I Hate About You,15,3,6,6,True,Crime
12,2,2,0,0,True,Crime
12 and Holding,21,10,10,1,True,Crime
12 Monkeys,17,11,4,2,True,Crime
12 Years a Slave,1,0,0,1,True,Crime
127 Hours,24,19,5,0,True,Crime
1492: Conquest of Paradise,0,0,0,0,[],Crime
15 Minutes,29,15,14,0,True,Crime
17 Again,2,0,1,1,True,Crime
187,46,23,14,9,True,Crime
2001: A Space Odyssey,0,0,0,0,[],Crime
2012,6,1,5,0,True,Crime
25th Hour,0,0,0,0,[],Crime
28 Days Later,56,46,10,0,True,Crime
30 Minutes or Less,242,168,63,11,True,Crime
42,4,0,2,2,True,Crime
44 Inch Chest,66,61,4,1,True,Crime
48 Hrs.,54,23,25,6,True,Crime
50-50,36,22,12,2,True,Crime
500 Days of Summer,32,11,18,3,True,Crime
8 Mile,0,0,0,0,[],Crime
8MM,42,38,4,0,True,Crime
9,0,0,0,0,[],Crime
A Few Good Men,14,5,9,0,True,Crime
A Most Violent Year,32,27,5,0,True,Crime
A Prayer Before Dawn,24,20,4,0,True,Crime
A Quiet Place,0,0,0,0,[],Crime
A Scanner Darkly,83,63,20,0,True,Crime
A Serious Man,11,7,4,0,True,Crime
A.I.,0,0,0,0,[],Crime
Above the Law,21,16,5,0,True,Crime
Absolute Power,15,9,5,1,True,Crime
"Abyss, The",17,1,10,6,True,Crime
Ace Ventura: Pet Detective,0,0,0,0,[],Crime
Adaptation,45,34,10,1,True,Crime
"Addams Family, The",0,0,0,0,[],Crime
"Adjustment Bureau, The",11,6,4,1,True,Crime
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",5,0,5,0,True,Crime
Affliction,64,50,13,1,True,Crime
After School Special,12,1,11,0,True,Crime
After.Life,25,19,5,1,True,Crime
Agnes of God,1,0,0,1,True,Crime
Air Force One,20,12,7,1,True,Crime
Airplane,3,0,3,0,True,Crime
Airplane 2: The Sequel,0,0,0,0,[],Crime
Aladdin,0,0,0,0,[],Crime
Ali,8,7,1,0,True,Crime
Alien,3,1,2,0,True,Crime
Alien 3,10,4,6,0,True,Crime
Alien Nation,14,1,11,2,True,Crime
Alien vs. Predator,21,9,12,0,True,Crime
Alien: Resurrection,0,0,0,0,[],Crime
Aliens,30,19,8,3,True,Crime
All About Eve,0,0,0,0,[],Crime
All About Steve,2,0,1,1,True,Crime
All the King's Men,0,0,0,0,[],Crime
All the President's Men,19,14,4,1,True,Crime
Almost Famous,28,24,3,1,True,Crime
Alone in the Dark,2,1,1,0,True,Crime
Amadeus,7,2,5,0,True,Crime
Amelia,2,1,1,0,True,Crime
American Beauty,31,21,9,1,True,Crime
American Gangster,54,48,5,1,True,Crime
American Graffiti,4,0,4,0,True,Crime
American History X,156,103,44,9,True,Crime
American Hustle,111,89,17,5,True,Crime
American Madness,0,0,0,0,[],Crime
American Milkshake,44,25,19,0,True,Crime
American Outlaws,2,0,2,0,True,Crime
American Pie,40,19,21,0,True,Crime
"American President, The",6,3,3,0,True,Crime
American Psycho,50,36,4,10,True,Crime
American Shaolin: King of Kickboxers II,0,0,0,0,[],Crime
American Sniper,59,34,23,2,True,Crime
American Splendor,15,2,12,1,True,Crime
American Werewolf in London,13,7,6,0,True,Crime
"American, The",13,8,5,0,True,Crime
"Amityville Asylum, The",36,28,8,0,True,Crime
Amour,1,1,0,0,True,Crime
An Education,0,0,0,0,[],Crime
Analyze That,43,24,17,2,True,Crime
Analyze This,39,28,11,0,True,Crime
Anastasia,0,0,0,0,[],Crime
Angel Eyes,10,1,7,2,True,Crime
Angels & Demons,0,0,0,0,[],Crime
Anna Karenina,0,0,0,0,[],Crime
Annie Hall,0,0,0,0,[],Crime
"Anniversary Party, The",71,56,13,2,True,Crime
Anonymous,0,0,0,0,[],Crime
Antitrust,4,0,4,0,True,Crime
Antz,0,0,0,0,[],Crime
"Apartment, The",0,0,0,0,[],Crime
Apocalypse Now,37,17,14,6,True,Crime
Apollo 13,0,0,0,0,[],Crime
April Fool's Day,20,12,8,0,True,Crime
Apt Pupil,39,35,3,1,True,Crime
Arbitrage,51,48,2,1,True,Crime
Arcade,26,17,7,2,True,Crime
Arctic Blue,29,17,11,1,True,Crime
Argo,23,22,1,0,True,Crime
Armageddon,13,4,8,1,True,Crime
Army of Darkness,2,0,1,1,True,Crime
Arsenic and Old Lace,0,0,0,0,[],Crime
Arthur,22,9,11,2,True,Crime
"Artist, The",0,0,0,0,[],Crime
As Good As It Gets,8,5,2,1,True,Crime
Assassins,85,63,17,5,True,Crime
"Assignment, The",56,32,17,7,True,Crime
At First Sight,6,2,4,0,True,Crime
August: Osage County,0,0,0,0,[],Crime
Austin Powers - International Man of Mystery,1,0,1,0,True,Crime
Austin Powers - The Spy Who Shagged Me,4,0,3,1,True,Crime
Authors Anonymous,3,0,3,0,True,Crime
Autumn in New York,6,1,4,1,True,Crime
Avatar,18,1,11,6,True,Crime
"Avengers, The",0,0,0,0,[],Crime
"Avengers, The (2012)",24,13,10,1,True,Crime
"Avventura, L' (The Adventure)",0,0,0,0,[],Crime
Awakenings,0,0,0,0,[],Crime
Babel,23,19,4,0,True,Crime
Bachelor Party,13,2,9,2,True,Crime
"Bachelor Party, The",0,0,0,0,[],Crime
Back to the Future,0,0,0,0,[],Crime
Back to the Future II & III,0,0,0,0,[],Crime
"Back-up Plan, The",24,15,8,1,True,Crime
Backdraft,49,26,13,10,True,Crime
Bad Boys,64,37,26,1,True,Crime
Bad Country,60,44,15,1,True,Crime
Bad Day at Black Rock,0,0,0,0,[],Crime
Bad Dreams,20,12,8,0,True,Crime
Bad Lieutenant,76,63,13,0,True,Crime
Bad Santa,129,90,33,6,True,Crime
Bad Teacher,30,19,9,2,True,Crime
Badlands,0,0,0,0,[],Crime
Bamboozled,4,1,1,2,True,Crime
Barry Lyndon,0,0,0,0,[],Crime
Barton Fink,8,1,4,3,True,Crime
Basic,57,43,11,3,True,Crime
Basic Instinct,33,29,3,1,True,Crime
Basquiat,26,13,13,0,True,Crime
Batman,4,0,4,0,True,Crime
Batman 2,11,1,6,4,True,Crime
Batman and Robin,0,0,0,0,[],Crime
Batman Begins,0,0,0,0,[],Crime
Batman Forever,0,0,0,0,[],Crime
Batman Returns,0,0,0,0,[],Crime
"Battle of Algiers, The",2,0,1,1,True,Crime
"Battle of Shaker Heights, The",22,15,5,2,True,Crime
Battle: Los Angeles,0,0,0,0,[],Crime
"Beach, The",23,17,6,0,True,Crime
Bean,1,0,1,0,True,Crime
Beasts of No Nation,2,2,0,0,True,Crime
Beasts of the Southern Wild,4,1,2,1,True,Crime
Beauty and the Beast,0,0,0,0,[],Crime
Beavis and Butt-head Do America,0,0,0,0,[],Crime
Beginners,6,6,0,0,True,Crime
Being Human,4,3,1,0,True,Crime
Being John Malkovich,25,13,10,2,True,Crime
Being There,4,1,0,3,True,Crime
"Believer, The",46,37,9,0,True,Crime
Belle,0,0,0,0,[],Crime
Beloved,2,0,1,1,True,Crime
Benny & Joon,0,0,0,0,[],Crime
"Best Exotic Marigold Hotel, The",2,2,0,0,True,Crime
Big,2,1,1,0,True,Crime
"Big Blue, The",5,1,2,2,True,Crime
Big Eyes,5,1,2,2,True,Crime
Big Fish,5,0,4,1,True,Crime
"Big Lebowski, The",247,218,27,2,True,Crime
"Big Sick, The",58,51,7,0,True,Crime
"Big White, The",21,14,6,1,True,Crime
Birdman,103,74,28,1,True,Crime
"Birds, The",0,0,0,0,[],Crime
Birthday Girl,13,12,1,0,True,Crime
"Black Dahlia, The",50,37,9,4,True,Crime
Black Panther,7,0,7,0,True,Crime
Black Rain,8,1,6,1,True,Crime
Black Snake Moan,62,22,36,4,True,Crime
Black Swan,20,19,1,0,True,Crime
BlacKkKlansman,31,14,14,3,True,Crime
Blade,12,8,4,0,True,Crime
Blade II,44,31,9,4,True,Crime
Blade Runner,8,5,3,0,True,Crime
Blade: Trinity,0,0,0,0,[],Crime
"Blast from the Past, The",8,1,5,2,True,Crime
"Blind Side, The",4,0,1,3,True,Crime
"Bling Ring, The",34,25,6,3,True,Crime
Blood and Wine,17,14,3,0,True,Crime
Blood Simple,10,7,3,0,True,Crime
Blow,103,87,14,2,True,Crime
Blue Valentine,29,20,8,1,True,Crime
Blue Velvet,36,23,10,3,True,Crime
"Blues Brothers, The",0,0,0,0,[],Crime
"Bodies, Rest & Motion",0,0,0,0,[],Crime
Body Heat,10,4,6,0,True,Crime
Body of Evidence,9,5,1,3,True,Crime
Bodyguard,28,18,5,5,True,Crime
Bones,46,18,24,4,True,Crime
Bonfire of the Vanities,45,24,15,6,True,Crime
Bonnie and Clyde,2,1,0,1,True,Crime
Boogie Nights,111,87,20,4,True,Crime
"Book of Eli, The",24,14,7,3,True,Crime
Boondock Saints 2: All Saints Day,0,0,0,0,[],Crime
"Boondock Saints, The",144,98,42,4,True,Crime
Bottle Rocket,54,36,16,2,True,Crime
Bound,99,73,20,6,True,Crime
"Bounty Hunter, The",38,18,12,8,True,Crime
"Bourne Identity, The",44,25,19,0,True,Crime
"Bourne Supremacy, The",0,0,0,0,[],Crime
"Bourne Ultimatum, The",2,1,1,0,True,Crime
"Box, The",1,0,1,0,True,Crime
"Boxtrolls, The",0,0,0,0,[],Crime
Boyhood,50,31,12,7,True,Crime
Braveheart,0,0,0,0,[],Crime
Brazil,11,3,7,1,True,Crime
Break,3,0,3,0,True,Crime
Breakdown,26,19,6,1,True,Crime
"Breakfast Club, The",40,15,19,6,True,Crime
Breaking Away,2,0,2,0,True,Crime
Brick,0,0,0,0,[],Crime
Bridesmaids,32,6,23,3,True,Crime
Bringing Out the Dead,17,8,8,1,True,Crime
Broadcast News,7,5,2,0,True,Crime
Broken Arrow,9,2,6,1,True,Crime
Broken Embraces,9,6,1,2,True,Crime
"Brothers Bloom, The",23,7,11,5,True,Crime
Bruce Almighty,1,0,1,0,True,Crime
Buffy the Vampire Slayer,11,2,3,6,True,Crime
Bull Durham,47,23,20,4,True,Crime
Buried,15,8,5,2,True,Crime
Burlesque,22,0,16,6,True,Crime
Burn After Reading,55,36,16,3,True,Crime
Burning Annie,24,8,15,1,True,Crime
"Butterfly Effect, The",46,29,15,2,True,Crime
Cable Guy,6,0,3,3,True,Crime
Candle to Water,74,53,11,10,True,Crime
Capote,2,2,0,0,True,Crime
Carrie,17,3,13,1,True,Crime
Cars 2,0,0,0,0,[],Crime
Casablanca,0,0,0,0,[],Crime
Case 39,4,3,1,0,True,Crime
Casino,181,145,31,5,True,Crime
Cast Away,30,16,13,1,True,Crime
Catch Me If You Can,14,7,5,2,True,Crime
Catwoman,0,0,0,0,[],Crime
Cecil B. Demented,39,32,2,5,True,Crime
Cedar Rapids,51,34,17,0,True,Crime
Celeste & Jesse Forever,0,0,0,0,[],Crime
"Cell, The",12,8,2,2,True,Crime
Cellular,31,2,22,7,True,Crime
"Change-Up, The",150,122,24,4,True,Crime
Changeling,4,4,0,0,True,Crime
Chaos,25,7,17,1,True,Crime
Charade,0,0,0,0,[],Crime
Charlie's Angels,12,2,7,3,True,Crime
Chasing Amy,165,105,41,19,True,Crime
Chasing Sleep,23,11,6,6,True,Crime
Cherry Falls,37,29,8,0,True,Crime
Chinatown,10,1,2,7,True,Crime
Christ Complex,27,26,1,0,True,Crime
Chronicle,110,83,26,1,True,Crime
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,[],Crime
"Cider House Rules, The",2,0,2,0,True,Crime
"Cincinnati Kid, The",2,0,0,2,True,Crime
Cinema Paradiso,10,8,2,0,True,Crime
Cirque du Freak: The Vampire's Assistant,0,0,0,0,[],Crime
Citizen Kane,0,0,0,0,[],Crime
City of Joy,0,0,0,0,[],Crime
Clash of the Titans,1,0,1,0,True,Crime
Clerks,113,78,33,2,True,Crime
