title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
10 Things I Hate About You,15,3,6,6,0,True
12,2,2,0,0,0,True
12 and Holding,21,10,10,1,0,True
12 Monkeys,17,11,4,2,0,True
12 Years a Slave,1,0,0,1,0,True
127 Hours,24,19,5,0,0,True
1492: Conquest of Paradise,0,0,0,0,0,[]
15 Minutes,29,15,14,0,0,True
17 Again,2,0,1,1,0,True
187,47,24,14,9,0,True
2001: A Space Odyssey,0,0,0,0,0,[]
2012,7,1,6,0,0,True
25th Hour,0,0,0,0,0,[]
28 Days Later,60,46,10,0,4,True
30 Minutes or Less,243,169,63,11,0,True
42,4,0,2,2,0,True
44 Inch Chest,96,64,4,1,27,True
48 Hrs.,54,23,25,6,0,True
50-50,40,23,15,2,0,True
500 Days of Summer,32,11,18,3,0,True
8 Mile,0,0,0,0,0,[]
8MM,45,39,4,0,2,True
9,0,0,0,0,0,[]
A Few Good Men,14,5,9,0,0,True
A Most Violent Year,32,27,5,0,0,True
A Prayer Before Dawn,25,20,4,0,1,True
A Quiet Place,0,0,0,0,0,[]
A Scanner Darkly,85,64,21,0,0,True
A Serious Man,21,17,4,0,0,True
A.I.,0,0,0,0,0,[]
Above the Law,23,18,5,0,0,True
Absolute Power,15,9,5,1,0,True
"Abyss, The",17,1,10,6,0,True
Ace Ventura: Pet Detective,0,0,0,0,0,[]
Adaptation,45,34,10,1,0,True
"Addams Family, The",0,0,0,0,0,[]
"Adjustment Bureau, The",12,6,5,1,0,True
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",5,0,5,0,0,True
Affliction,66,52,13,1,0,True
After School Special,12,1,11,0,0,True
After.Life,25,19,5,1,0,True
Agnes of God,1,0,0,1,0,True
Air Force One,20,12,7,1,0,True
Airplane,3,0,3,0,0,True
Airplane 2: The Sequel,0,0,0,0,0,[]
Aladdin,0,0,0,0,0,[]
Ali,8,7,1,0,0,True
Alien,3,1,2,0,0,True
Alien 3,11,5,6,0,0,True
Alien Nation,15,1,12,2,0,True
Alien vs. Predator,22,10,12,0,0,True
Alien: Resurrection,0,0,0,0,0,[]
Aliens,30,19,8,3,0,True
