title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
10 Things I Hate About You,15,3,6,6,0,TRUE
12,2,2,0,0,0,TRUE
12 and Holding,21,10,10,1,0,TRUE
12 Monkeys,17,11,4,2,0,TRUE
12 Years a Slave,1,0,0,1,0,TRUE
127 Hours,24,19,5,0,0,TRUE
1492: Conquest of Paradise,0,0,0,0,0,[]
15 Minutes,29,15,14,0,0,TRUE
17 Again,2,0,1,1,0,TRUE
187,47,24,14,9,0,TRUE
2001: A Space Odyssey,0,0,0,0,0,[]
2012,7,1,6,0,0,TRUE
25th Hour,0,0,0,0,0,[]
28 Days Later,60,46,10,0,4,TRUE
30 Minutes or Less,243,169,63,11,0,TRUE
42,4,0,2,2,0,TRUE
44 Inch Chest,96,64,4,1,27,TRUE
48 Hrs.,54,23,25,6,0,TRUE
50-50,40,23,15,2,0,TRUE
500 Days of Summer,32,11,18,3,0,TRUE
8 Mile,0,0,0,0,0,[]
8MM,45,39,4,0,2,TRUE
9,0,0,0,0,0,[]
A Few Good Men,14,5,9,0,0,TRUE
A Most Violent Year,32,27,5,0,0,TRUE
A Prayer Before Dawn,25,20,4,0,1,TRUE
A Quiet Place,0,0,0,0,0,[]
A Scanner Darkly,85,64,21,0,0,TRUE
A Serious Man,21,17,4,0,0,TRUE
A.I.,0,0,0,0,0,[]
Above the Law,23,18,5,0,0,TRUE
Absolute Power,15,9,5,1,0,TRUE
The Abyss,17,1,10,6,0,TRUE
Ace Ventura: Pet Detective,0,0,0,0,0,[]
Adaptation,45,34,10,1,0,TRUE
The Addams Family,0,0,0,0,0,[]
The Adjustment Bureau,12,6,5,1,0,TRUE
The Adventures of Buckaroo Banzai Across the Eighth Dimension,5,0,5,0,0,TRUE
Affliction,66,52,13,1,0,TRUE
After School Special,12,1,11,0,0,TRUE
After.Life,25,19,5,1,0,TRUE
Agnes of God,1,0,0,1,0,TRUE
Air Force One,20,12,7,1,0,TRUE
Airplane,3,0,3,0,0,TRUE
Airplane 2: The Sequel,0,0,0,0,0,[]
Aladdin,0,0,0,0,0,[]
Ali,8,7,1,0,0,TRUE
