title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
15 Minutes,17,13,4,0,True,Action
2012,2,1,1,0,True,Action
30 Minutes or Less,176,139,34,3,True,Action
48 Hrs.,33,20,11,2,True,Action
A Most Violent Year,30,27,3,0,True,Action
Above the Law,18,15,3,0,True,Action
"Abyss, The",2,1,1,0,True,Action
Air Force One,10,9,1,0,False,Action
Alien,1,1,0,0,True,Action
Alien 3,4,4,0,0,True,Action
Alien vs. Predator,8,7,1,0,True,Action
Alien: Resurrection,0,0,0,0,[],Action
Aliens,19,16,2,1,True,Action
Alone in the Dark,1,1,0,0,True,Action
American Outlaws,0,0,0,0,[],Action
American Shaolin: King of Kickboxers II,0,0,0,0,[],Action
American Sniper,44,28,15,1,True,Action
Apocalypse Now,28,17,9,2,True,Action
Arctic Blue,19,16,3,0,True,Action
Armageddon,10,4,6,0,True,Action
Army of Darkness,1,0,0,1,True,Action
Assassins,59,54,4,1,True,Action
Austin Powers - International Man of Mystery,0,0,0,0,[],Action
Austin Powers - The Spy Who Shagged Me,1,0,0,1,True,Action
Avatar,8,1,5,2,True,Action
"Avengers, The",0,0,0,0,[],Action
"Avengers, The (2012)",17,11,6,0,True,Action
Back to the Future,0,0,0,0,[],Action
Backdraft,36,25,8,3,True,Action
Bad Boys,45,31,14,0,True,Action
Bad Country,39,32,6,1,True,Action
Batman,1,0,1,0,True,Action
Batman 2,6,1,4,1,True,Action
Batman and Robin,0,0,0,0,[],Action
Batman Begins,0,0,0,0,[],Action
Batman Forever,0,0,0,0,[],Action
Batman Returns,0,0,0,0,[],Action
Battle: Los Angeles,0,0,0,0,[],Action
Black Panther,7,0,7,0,True,Action
Black Rain,5,1,4,0,True,Action
Blade,12,8,4,0,True,Action
Blade II,32,30,2,0,True,Action
Blade Runner,5,3,2,0,True,Action
Blade: Trinity,0,0,0,0,[],Action
"Book of Eli, The",14,13,1,0,True,Action
Boondock Saints 2: All Saints Day,0,0,0,0,[],Action
"Bounty Hunter, The",16,12,3,1,True,Action
"Bourne Identity, The",38,24,14,0,True,Action
"Bourne Supremacy, The",0,0,0,0,[],Action
"Bourne Ultimatum, The",1,1,0,0,True,Action
Braveheart,0,0,0,0,[],Action
Breakdown,16,15,1,0,True,Action
Broken Arrow,2,2,0,0,True,Action
Buffy the Vampire Slayer,6,2,2,2,True,Action
Cars 2,0,0,0,0,[],Action
Catwoman,0,0,0,0,[],Action
Cellular,10,1,8,1,True,Action
Chaos,11,6,5,0,True,Action
Charlie's Angels,3,2,1,0,True,Action
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0,0,0,0,[],Action
Cirque du Freak: The Vampire's Assistant,0,0,0,0,[],Action
Clash of the Titans,0,0,0,0,[],Action
Cliffhanger,23,19,2,2,True,Action
Code of Silence,18,11,7,0,True,Action
Collateral,0,0,0,0,[],Action
Collateral Damage,17,11,5,1,True,Action
Colombiana,10,6,2,2,True,Action
Commando,0,0,0,0,[],Action
Conan the Barbarian,0,0,0,0,[],Action
Constantine,10,1,9,0,True,Action
Courage Under Fire,0,0,0,0,[],Action
Cowboys & Aliens,0,0,0,0,[],Action
Cradle 2 the Grave,32,21,9,2,True,Action
Crank,46,23,15,8,True,Action
"Crouching Tiger, Hidden Dragon",0,0,0,0,[],Action
"Crow Salvation, The",31,24,4,3,True,Action
"Crow, The",27,21,4,2,True,Action
"Crow: City of Angels, The",0,0,0,0,[],Action
Crying Game,64,58,2,4,True,Action
"Dark Knight Rises, The",0,0,0,0,[],Action
"Dark Knight, The",0,0,0,0,[],Action
Darkman,9,6,0,3,True,Action
Dawn of the Dead,5,2,3,0,True,Action
Deadpool,19,15,4,0,True,Action
"Debt, The",22,21,1,0,True,Action
Deep Cover,32,25,5,2,True,Action
Deep Rising,22,3,18,1,True,Action
Defiance,15,6,9,0,True,Action
Die Hard,26,22,4,0,True,Action
Die Hard 2,45,38,7,0,True,Action
Dragonslayer,0,0,0,0,[],Action
Drive,41,41,0,0,True,Action
Drive Angry,53,44,4,5,True,Action
Dune,0,0,0,0,[],Action
Eagle Eye,22,17,5,0,True,Action
Eight Legged Freaks,1,1,0,0,True,Action
El Mariachi,0,0,0,0,[],Action
Enemy of the State,18,18,0,0,True,Action
Entrapment,21,17,3,1,True,Action
Equilibrium,0,0,0,0,[],Action
Escape From L.A.,6,2,4,0,True,Action
Escape From New York,8,3,3,2,True,Action
Evil Dead II: Dead by Dawn,0,0,0,0,[],Action
Executive Decision,0,0,0,0,[],Action
Face Off,13,10,3,0,True,Action
Fair Game,20,18,1,1,True,Action
Fantastic Four,0,0,0,0,[],Action
Feast,19,13,5,1,True,Action
"Fifth Element, The",9,7,2,0,True,Action
Fight Club,40,31,7,2,True,Action
Flash Gordon,0,0,0,0,[],Action
Freddy vs. Jason,42,5,2,35,True,Action
"French Connection, The",6,2,4,0,True,Action
From Dusk Till Dawn,70,44,25,1,True,Action
"Fugitive, The",0,0,0,0,[],Action
Fury,0,0,0,0,[],Action
G.I. Jane,15,8,6,1,True,Action
G.I. Joe: The Rise of Cobra,0,0,0,0,[],Action
Gamer,39,28,10,1,True,Action
Get Carter,4,1,3,0,True,Action
Get Shorty,0,0,0,0,[],Action
"Getaway, The",0,0,0,0,[],Action
"Ghost and the Darkness, The",4,2,1,1,True,Action
Ghost Rider,41,38,3,0,True,Action
Ghost Ship,15,10,4,1,False,Action
Ghostbusters 2,1,0,1,0,True,Action
Gladiator,0,0,0,0,[],Action
Godzilla,0,0,0,0,[],Action
Gone in 60 Seconds,21,7,14,0,True,Action
Guardians of the Galaxy Vol 2,0,0,0,0,[],Action
Hackers,8,1,7,0,True,Action
Hancock,21,18,3,0,True,Action
Hanna,7,5,2,0,True,Action
Hard Rain,4,2,2,0,True,Action
Hard to Kill,21,15,5,1,True,Action
Harry Potter and the Half-Blood Prince,0,0,0,0,[],Action
Heat,41,39,1,1,True,Action
Heavy Metal,1,0,1,0,True,Action
Hellboy,0,0,0,0,[],Action
Hellboy 2: The Golden Army,0,0,0,0,[],Action
Highlander,1,0,0,1,True,Action
Highlander: Endgame,0,0,0,0,[],Action
Hostage,42,33,8,1,True,Action
How to Train Your Dragon 2,0,0,0,0,[],Action
Hudson Hawk,16,11,4,1,True,Action
"Hunt for Red October, The",3,3,0,0,True,Action
I Am Number Four,0,0,0,0,[],Action
