title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
10 Things I Hate About You,8,3,2,3,True,Crime
12,2,2,0,0,True,Crime
12 and Holding,12,9,3,0,True,Crime
12 Monkeys,13,10,3,0,True,Crime
12 Years a Slave,1,0,0,1,True,Crime
127 Hours,15,13,2,0,True,Crime
1492: Conquest of Paradise,0,0,0,0,[],Crime
15 Minutes,17,13,4,0,True,Crime
17 Again,0,0,0,0,[],Crime
187,23,20,2,1,True,Crime
2001: A Space Odyssey,0,0,0,0,[],Crime
2012,2,1,1,0,True,Crime
25th Hour,0,0,0,0,[],Crime
28 Days Later,43,38,5,0,True,Crime
30 Minutes or Less,176,139,34,3,True,Crime
42,2,0,1,1,True,Crime
44 Inch Chest,60,58,1,1,True,Crime
48 Hrs.,33,20,11,2,True,Crime
50-50,23,18,4,1,True,Crime
500 Days of Summer,16,10,5,1,True,Crime
8 Mile,0,0,0,0,[],Crime
8MM,35,33,2,0,True,Crime
9,0,0,0,0,[],Crime
A Few Good Men,11,5,6,0,True,Crime
A Most Violent Year,30,27,3,0,True,Crime
A Prayer Before Dawn,20,17,3,0,True,Crime
A Quiet Place,0,0,0,0,[],Crime
A Scanner Darkly,53,47,6,0,True,Crime
A Serious Man,6,6,0,0,True,Crime
A.I.,0,0,0,0,[],Crime
Above the Law,18,15,3,0,True,Crime
Absolute Power,11,8,2,1,True,Crime
"Abyss, The",2,1,1,0,True,Crime
Ace Ventura: Pet Detective,0,0,0,0,[],Crime
Adaptation,35,32,2,1,True,Crime
"Addams Family, The",0,0,0,0,[],Crime
"Adjustment Bureau, The",5,5,0,0,True,Crime
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",0,0,0,0,[],Crime
Affliction,46,42,3,1,True,Crime
After School Special,8,1,7,0,True,Crime
After.Life,19,17,1,1,True,Crime
Agnes of God,1,0,0,1,True,Crime
Air Force One,10,9,1,0,False,Crime
Airplane,2,0,2,0,True,Crime
Airplane 2: The Sequel,0,0,0,0,[],Crime
