title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
15 Minutes,5,1,4,0,True,Crime
25th Hour,0,0,0,0,[],Crime
44 Inch Chest,18,17,0,1,True,Crime
A Few Good Men,8,2,6,0,True,Crime
A Most Violent Year,7,4,3,0,True,Crime
A Prayer Before Dawn,4,3,1,0,True,Crime
A Scanner Darkly,23,17,6,0,True,Crime
Absolute Power,4,1,2,1,True,Crime
Alien Nation,4,0,3,1,True,Crime
American Gangster,31,26,5,0,True,Crime
American History X,34,10,22,2,True,Crime
American Hustle,20,14,5,1,True,Crime
"American, The",5,3,2,0,True,Crime
Analyze That,21,10,10,1,True,Crime
Analyze This,16,8,8,0,True,Crime
Antitrust,1,0,1,0,True,Crime
Arsenic and Old Lace,0,0,0,0,[],Crime
Bad Country,24,17,6,1,True,Crime
Bad Lieutenant,19,10,9,0,True,Crime
Bad Santa,42,22,19,1,True,Crime
Badlands,0,0,0,0,[],Crime
Basic Instinct,19,18,1,0,True,Crime
Batman,1,0,1,0,True,Crime
Batman 2,2,0,2,0,True,Crime
Batman Begins,0,0,0,0,[],Crime
Big Eyes,0,0,0,0,[],Crime
"Big White, The",5,1,3,1,True,Crime
Birthday Girl,4,4,0,0,True,Crime
"Black Dahlia, The",23,15,5,3,True,Crime
Black Rain,4,1,3,0,True,Crime
BlacKkKlansman,2,0,2,0,True,Crime
"Bling Ring, The",9,9,0,0,True,Crime
Blood and Wine,3,2,1,0,True,Crime
Blow,20,14,5,1,True,Crime
Blue Velvet,10,6,4,0,True,Crime
"Blues Brothers, The",0,0,0,0,[],Crime
Body Heat,5,3,2,0,True,Crime
Bonnie and Clyde,1,1,0,0,True,Crime
Boondock Saints 2: All Saints Day,0,0,0,0,[],Crime
"Boondock Saints, The",52,37,15,0,True,Crime
Bottle Rocket,24,17,7,0,True,Crime
Bound,25,20,4,1,True,Crime
"Bounty Hunter, The",12,8,3,1,True,Crime
"Brothers Bloom, The",5,1,4,0,True,Crime
Burn After Reading,9,5,4,0,True,Crime
Capote,0,0,0,0,[],Crime
Casino,76,67,9,0,True,Crime
Catch Me If You Can,5,2,2,1,True,Crime
Catwoman,0,0,0,0,[],Crime
Cecil B. Demented,7,6,0,1,True,Crime
Cellular,5,0,4,1,True,Crime
Changeling,1,1,0,0,True,Crime
Chaos,7,2,5,0,True,Crime
Chinatown,5,1,2,2,True,Crime
Collateral,0,0,0,0,[],Crime
Colombiana,9,5,2,2,True,Crime
Confessions of a Dangerous Mind,22,19,3,0,True,Crime
Confidence,19,7,10,2,True,Crime
Copycat,10,5,3,2,True,Crime
Cradle 2 the Grave,16,7,8,1,True,Crime
Crank,27,7,13,7,True,Crime
Crime Spree,7,4,2,1,True,Crime
Croupier,12,8,3,1,True,Crime
"Crow Salvation, The",9,4,4,1,True,Crime
"Crow: City of Angels, The",0,0,0,0,[],Crime
"Dark Knight Rises, The",0,0,0,0,[],Crime
"Dark Knight, The",0,0,0,0,[],Crime
Darkman,5,2,0,3,True,Crime
Date Night,0,0,0,0,[],Crime
Death to Smoochy,2,0,2,0,True,Crime
Deception,1,1,0,0,True,Crime
Deep Cover,17,10,5,2,True,Crime
"Departed, The",52,44,7,1,True,Crime
Devil in a Blue Dress,3,0,3,0,True,Crime
Donnie Brasco,29,26,3,0,True,Crime
Double Indemnity,0,0,0,0,[],Crime
Drive,7,7,0,0,True,Crime
Drive Angry,21,15,4,2,True,Crime
Eastern Promises,9,6,0,3,True,Crime
El Mariachi,0,0,0,0,[],Crime
Entrapment,7,3,3,1,True,Crime
Extract,4,0,4,0,True,Crime
Face Off,6,3,3,0,True,Crime
Fargo,6,6,0,0,True,Crime
Fatal Instinct,0,0,0,0,[],Crime
Fracture,0,0,0,0,[],Crime
"French Connection, The",4,0,4,0,True,Crime
Frozen River,1,1,0,0,True,Crime
Gang Related,23,12,10,1,True,Crime
Gangs of New York,0,0,0,0,[],Crime
Get Carter,3,0,3,0,True,Crime
Get Shorty,0,0,0,0,[],Crime
"Getaway, The",0,0,0,0,[],Crime
"Girl with the Dragon Tattoo, The",2,2,0,0,True,Crime
Go,18,12,5,1,True,Crime
Godfather,0,0,0,0,[],Crime
Godfather Part II,1,1,0,0,True,Crime
"Godfather Part III, The",7,0,6,1,True,Crime
Gone Baby Gone,26,16,8,2,True,Crime
Gone in 60 Seconds,13,3,10,0,True,Crime
Goodfellas,0,0,0,0,[],Crime
Gran Torino,20,10,7,3,True,Crime
"Grifters, The",4,1,3,0,True,Crime
Grosse Point Blank,6,5,1,0,True,Crime
Hackers,6,0,6,0,True,Crime
Hancock,4,3,1,0,True,Crime
"Hangover, The",0,0,0,0,[],Crime
Hanna,6,5,1,0,True,Crime
Hard Rain,3,1,2,0,True,Crime
Heat,19,17,1,1,True,Crime
Heavenly Creatures,0,0,0,0,[],Crime
Heist,4,3,0,1,True,Crime
Henry's Crime,3,2,1,0,True,Crime
Horrible Bosses,20,15,5,0,True,Crime
Hostage,16,7,8,1,True,Crime
Hudson Hawk,4,0,3,1,True,Crime
I Spit on Your Grave,15,6,9,0,True,Crime
In the Bedroom,4,1,1,2,True,Crime
Insomnia,6,3,2,1,True,Crime
Intolerable Cruelty,4,1,2,1,True,Crime
"Italian Job, The",4,1,3,0,True,Crime
Jackie Brown,64,33,26,5,True,Crime
Jade,0,0,0,0,[],Crime
JFK,12,5,7,0,True,Crime
John Q,6,0,5,1,True,Crime
John Wick,12,11,1,0,True,Crime
Joker,16,10,6,0,True,Crime
Judge Dredd,1,1,0,0,True,Crime
Kalifornia,11,6,4,1,True,Crime
Kill Bill Volume 1 & 2,0,0,0,0,[],Crime
Killing Zoe,31,25,4,2,True,Crime
"King of Comedy, The",0,0,0,0,[],Crime
Klute,2,0,0,2,True,Crime
L.A. Confidential,15,11,4,0,True,Crime
"Ladykillers, The",23,6,11,6,True,Crime
Law Abiding Citizen,23,12,10,1,True,Crime
Les Tontons Flingueurs,0,0,0,0,[],Crime
Lethal Weapon,0,0,0,0,[],Crime
Lethal Weapon 4,0,0,0,0,[],Crime
"Life of David Gale, The",4,3,1,0,True,Crime
"Limey, The",12,6,5,1,True,Crime
"Lincoln Lawyer, The",10,2,7,1,True,Crime
