title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
12 Monkeys,13,10,3,0,True,Action
127 Hours,15,13,2,0,True,Action
15 Minutes,17,13,4,0,True,Action
2012,2,1,1,0,True,Action
48 Hrs.,33,20,11,2,True,Action
8MM,35,33,2,0,True,Action
A Few Good Men,11,5,6,0,True,Action
Absolute Power,11,8,2,1,True,Action
"Abyss, The",2,1,1,0,True,Action
"Adjustment Bureau, The",5,5,0,0,True,Action
After.Life,19,17,1,1,True,Action
Air Force One,10,9,1,0,False,Action
Alien,1,1,0,0,True,Action
Alien 3,4,4,0,0,True,Action
Alien vs. Predator,8,7,1,0,True,Action
Alien: Resurrection,0,0,0,0,[],Action
Aliens,19,16,2,1,True,Action
All the President's Men,17,14,3,0,True,Action
Alone in the Dark,1,1,0,0,True,Action
American History X,120,94,23,3,True,Action
American Psycho,39,36,1,2,True,Action
"American, The",10,8,2,0,True,Action
Angels & Demons,0,0,0,0,[],Action
Anonymous,0,0,0,0,[],Action
Antitrust,1,0,1,0,True,Action
Apt Pupil,33,31,2,0,True,Action
Arbitrage,47,46,1,0,True,Action
Arctic Blue,19,16,3,0,True,Action
Argo,22,22,0,0,True,Action
Armageddon,10,4,6,0,True,Action
Assassins,59,54,4,1,True,Action
"Assignment, The",44,29,9,6,True,Action
"Avventura, L' (The Adventure)",0,0,0,0,[],Action
Babel,22,18,4,0,True,Action
Backdraft,36,25,8,3,True,Action
Bad Day at Black Rock,0,0,0,0,[],Action
Bad Dreams,12,11,1,0,True,Action
Badlands,0,0,0,0,[],Action
Barton Fink,3,1,1,1,True,Action
Basic,51,41,9,1,True,Action
Basic Instinct,32,29,2,1,True,Action
Batman,1,0,1,0,True,Action
Batman 2,6,1,4,1,True,Action
Batman and Robin,0,0,0,0,[],Action
Batman Begins,0,0,0,0,[],Action
Batman Returns,0,0,0,0,[],Action
"Beach, The",20,17,3,0,True,Action
"Big Lebowski, The",224,209,15,0,True,Action
"Birds, The",0,0,0,0,[],Action
"Black Dahlia, The",44,35,6,3,True,Action
Black Swan,15,15,0,0,True,Action
Blade II,32,30,2,0,True,Action
Blade: Trinity,0,0,0,0,[],Action
