title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Apocalypse Now,28,17,9,2,True,War
Barry Lyndon,0,0,0,0,[],War
"Battle of Algiers, The",0,0,0,0,[],War
Beasts of No Nation,2,2,0,0,True,War
Braveheart,0,0,0,0,[],War
Cold Mountain,5,1,4,0,True,War
Coriolanus,0,0,0,0,[],War
Courage Under Fire,0,0,0,0,[],War
"Deer Hunter, The",33,31,2,0,True,War
Defiance,15,6,9,0,True,War
Four Feathers,0,0,0,0,[],War
From Here to Eternity,0,0,0,0,[],War
Full Metal Jacket,0,0,0,0,[],War
Fury,0,0,0,0,[],War
Hotel Rwanda,7,7,0,0,True,War
Inglourious Basterds,28,26,1,1,True,War
Jeux Interdits,0,0,0,0,[],War
"Last of the Mohicans, The",0,0,0,0,[],War
"Last Samurai, The",2,1,1,0,True,War
"Men Who Stare at Goats, The",14,14,0,0,True,War
"Patriot, The",0,0,0,0,[],War
Pearl Harbor,15,5,8,2,True,War
"Pianist, The",5,4,1,0,True,War
Platoon,114,71,40,3,True,War
Saving Private Ryan,23,20,3,0,True,War
Schindler's List,5,5,0,0,True,War
Three Kings,57,49,8,0,True,War
Three Kings (Spoils of War),4,2,1,1,True,War
Tropic Thunder,24,17,6,1,True,War
Troy,0,0,0,0,[],War
Valkyrie,5,4,1,0,True,War
War Horse,0,0,0,0,[],War
